area,monster,skill,skill_name,verdict,reason,reference,source_zip,source_zip_sha256
AREA_02,다크 엑스텀프,s_mon_dark_axe_stump,어둠의 뿌리,보정 권장,검은 목질 뿌리·보라 코어는 적합. F02의 높은 뿌리가 F03에서 낮아졌다 F04에서 다시 커져 한 번의 성장보다 재출현처럼 보일 수 있음. 형상 전개 연결을 다듬을 것을 권장.,토파류 : 지 VI; 엔드리스 다크니스,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
AREA_02,와일드보어,s_mon_wild_boar,저돌 맹진,수정 필요,"F01은 날카로운 선두가 왼쪽, 잔상이 오른쪽이다. F00/F02~F04의 우측 전개 및 INPUT 우측 기준과 충돌. 해당 방향 연결을 고친 뒤 전체 돌진 흐름 재검증 필요. 전체 Area 재제작 사유는 아님.",스크류 펀치 / 스크류 펀치 강화; 헥스 : 샌드스톰,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
AREA_02,아이언 호그,s_mon_iron_hog,강철 발굽,유지 가능,강철 발굽·접지 충격선이 작은 크기에서 식별된다. 금속 면과 노란 반사광이 분리돼 ICON-only 역할에 적합.,스크류 펀치 / 스크류 펀치 강화; 로얄 가드 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
AREA_02,스켈레톤 지휘관,s_mon_skeleton_commander,뼈 무덤,유지 가능,비스듬히 솟는 뼈와 흙 파편이 순서대로 성장/해체된다. 물질형 스킬로 읽히며 모든 재질을 강한 발광으로 바꾸지 않은 점이 타당.,토파류 : 지 VI; 어스 브레이크 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
AREA_02,파이어보어,s_mon_fire_boar,화염 돌풍,유지 가능,낮은 불꽃 혀·밝은 코어·전방 불티가 명확하다. 오비탈 플레임의 외곽/코어 대비와 해체 원리를 유지하면서 원형 룬을 복제하지 않음.,오비탈 플레임 VI; 스크류 펀치 / 스크류 펀치 강화,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
AREA_02,스텀피,s_mon_stumpy,고목의 생기탄,유지 가능,나이테·새싹·연두 에너지탄과 좌측 잔상이 명세를 따른다. 몸체 확대만 있는 것이 아니라 압축과 후반 파편 전환이 존재. 실제 게임 발사 이동은 미검증.,정기 뿌리기 / 정기 뿌리기 강화; 버블 스타 / 버블 스타 강화,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
AREA_03,슬라임,s_mon_slime,끈적한 몸통,유지 가능,점액 신장·튀김·방울 해체가 읽히며 기존 AREA00과 같은 소재 언어. F07 재응집은 기존 판단 항목; 마지막 완전 소멸은 확인하지 않음.,분출 : 너울이는 강 VI; 워터실드,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_03\20260913_223849\AREA_03_IMAGES_OUTPUT.zip,d5d0368a29b86b2f454d32849b4b0df3c2b00f61bacc8bc6141ace3dfbc78fba
AREA_03,다크 스텀프,s_mon_dark_stump,단단한 밑동,유지 가능,나이테 방패·버팀 뿌리와 분리되는 파편이 명세를 따른다. 목질 중간톤이 남아 황금광 단일 덩어리로 뭉개지지 않음.,로얄 가드 VI; 옵시디언 배리어 / 옵시디언 배리어 강화,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_03\20260913_223849\AREA_03_IMAGES_OUTPUT.zip,d5d0368a29b86b2f454d32849b4b0df3c2b00f61bacc8bc6141ace3dfbc78fba
AREA_03,버블링,s_mon_bubbling,물방울 마력,유지 가능,큰 기포·작은 거품 고리가 ICON에서 읽히고 청색 젤리 몬스터와 연결됨. 패시브 ICON-only를 정상으로 처리.,워터실드; 버블 스타 / 버블 스타 강화,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_03\20260913_223849\AREA_03_IMAGES_OUTPUT.zip,d5d0368a29b86b2f454d32849b4b0df3c2b00f61bacc8bc6141ace3dfbc78fba
AREA_03,페어리,s_mon_fairy,요정의 마법가루,보정 권장,별가루/날개빛/나선 전개는 적합. 8프레임 모두 캔버스 끝에 alpha=1 잔류가 있음. 주요 형상 절단은 아니며 원화 재제작 없이 극미약 배경 잔류 정리 권장.,정기 뿌리기 / 정기 뿌리기 강화; 미스트랄 스프링,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_03\20260913_223849\AREA_03_IMAGES_OUTPUT.zip,d5d0368a29b86b2f454d32849b4b0df3c2b00f61bacc8bc6141ace3dfbc78fba
AREA_03,파우스트,s_mon_faust,저주의 인형,유지 가능,실로 묶인 인형 표식·자주색 침·충격광이 함께 읽힌다. 커스 마크/포이즌 니들의 날카로운 타격 대비를 모티브 복제 없이 반영. 파우스트 본체 직접 삽입 없음.,커스 마크; [처형] 포이즌 니들,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_03\20260913_223849\AREA_03_IMAGES_OUTPUT.zip,d5d0368a29b86b2f454d32849b4b0df3c2b00f61bacc8bc6141ace3dfbc78fba
AREA_04,옥토퍼스,s_mon_octopus,먹물 폭발,유지 가능,먹물의 어두운 몸통·반사광·분리 방울이 확인된다. 꽃잎형 방사 얼룩은 INPUT 자체 지시이며 불필요한 취향 수정 대상으로 보지 않음.,포이즌 미스트; 분출 : 너울이는 강 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_04\20260913_223849\AREA_04_IMAGES_OUTPUT.zip,2eb5bd0c632fad05f5b0d7fdf6743b2aa33ccab1c87a89f8e9b21b4b9e2fc333
AREA_04,스티지,s_mon_stirge,밤의 감각,유지 가능,얇은 야간 파문과 붉은 감지점이 ICON에서 구분된다. 감각 패시브의 추상 표식으로 타당.,소울 레조넌스 / 소울 레조넌스 강화; 엔드리스 다크니스,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_04\20260913_223849\AREA_04_IMAGES_OUTPUT.zip,2eb5bd0c632fad05f5b0d7fdf6743b2aa33ccab1c87a89f8e9b21b4b9e2fc333
AREA_04,주니어 레이스,s_mon_jr_wraith,망령 충격,수정 필요,F00~F03 하단 형상이 같은 수평선에서 끊긴다. F04~F07 상단에 수평으로 잘린 독립 고리 조각이 남는다. 실제 ZIP PNG에서도 확인. 분할 경계 오류 의심이나 생성 시트/분할 기록 원인 추적은 이번에 미실시. 원본 재추출 우선 검토.,워터실드; 커스 마크,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_04\20260913_223849\AREA_04_IMAGES_OUTPUT.zip,2eb5bd0c632fad05f5b0d7fdf6743b2aa33ccab1c87a89f8e9b21b4b9e2fc333
AREA_04,레이스,s_mon_wraith,원혼의 기운,유지 가능,휘어진 혼령 띠·내부 불씨와 반투명 농도 변화가 읽힌다. 청록색 혼령 소재를 보존하며 ICON-only로 적합.,엔드리스 다크니스; 워터실드,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_04\20260913_223849\AREA_04_IMAGES_OUTPUT.zip,2eb5bd0c632fad05f5b0d7fdf6743b2aa33ccab1c87a89f8e9b21b4b9e2fc333
AREA_04,셰이드,s_mon_shade,심연의 장막,유지 가능,중앙이 어둡고 가장자리만 보라빛인 장막이 성장 후 소멸한다. 빛을 삼키는 명세에 맞으므로 다른 공격처럼 중앙 흰 코어를 강제하지 않음. ICON 초승달 역시 명세에 명시됨.,옵시디언 배리어 / 옵시디언 배리어 강화; 엔드리스 다크니스,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_04\20260913_223849\AREA_04_IMAGES_OUTPUT.zip,2eb5bd0c632fad05f5b0d7fdf6743b2aa33ccab1c87a89f8e9b21b4b9e2fc333
AREA_05,리본 돼지,s_mon_ribbon_pig,리본 돌진,유지 가능,매듭→전방 리본 궤적→타격→분해가 구별된다. 분홍 천의 명암 면과 밝은 충돌광이 나뉘며 포스터형 고정 구성에 머물지 않음.,스크류 펀치 / 스크류 펀치 강화; 소울 시커 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_05\20260913_223849\AREA_05_IMAGES_OUTPUT.zip,675c65b9f806ed13fa14e7ff48baf8fd6c84669231b10212d4a92868eafeaf3a
AREA_05,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,유지 가능,푸른 리본 매듭·조임 고리와 단정한 반사광으로 패시브를 식별할 수 있음. 몬스터의 리본색/소재와 연결됨.,로얄 가드 VI; 소울 시커 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_05\20260913_223849\AREA_05_IMAGES_OUTPUT.zip,675c65b9f806ed13fa14e7ff48baf8fd6c84669231b10212d4a92868eafeaf3a
AREA_05,불가사리,s_mon_starfish,별가시 회전,유지 가능,다섯 갈래 주황 가시와 청록 회전 잔상이 출현/성장/분해된다. 소울 시커/너울이는 강의 곡선·파편 원리를 사용하며 몬스터 별 몸체를 직접 넣지 않음.,소울 시커 VI; 분출 : 너울이는 강 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_05\20260913_223849\AREA_05_IMAGES_OUTPUT.zip,675c65b9f806ed13fa14e7ff48baf8fd6c84669231b10212d4a92868eafeaf3a
AREA_05,쿨 젤리피쉬,s_mon_jellyfish,차가운 젤리,보정 권장,젤리 방울은 적합하지만 ICON의 서리 특성이 약해 보통 물방울과 구분이 약함. 작은 서리 면/차가운 가장자리만 보강 권장. 해파리 본체 삽입이나 전면 재생성은 불필요.,워터실드; 블리자드 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_05\20260913_223849\AREA_05_IMAGES_OUTPUT.zip,675c65b9f806ed13fa14e7ff48baf8fd6c84669231b10212d4a92868eafeaf3a
AREA_05,킹크랑,s_mon_king_clang,왕게의 집게 파도,보정 권장,갑각 면·파도 코어·분해는 완성도가 있다. 다만 F02~F07이 집게 닫힘보다 대칭 구도 확대와 파도 성장으로 읽혀 명세의 닫히는 타격을 더 명확히 할 필요가 있음. 붉은 집게는 INPUT 지정색이며 UUID 몬스터의 청색 갑각과 다른 점은 명세 재판단 항목.,분출 : 너울이는 강 VI; 스크류 펀치 / 스크류 펀치 강화,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_05\20260913_223849\AREA_05_IMAGES_OUTPUT.zip,675c65b9f806ed13fa14e7ff48baf8fd6c84669231b10212d4a92868eafeaf3a
