area,monster,monster_name,skill,skill_name,verdict,review_note,zip,zip_sha
AREA_08,m_eliza,엘리쟈,s_mon_eliza,여신의 정원 폭풍,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_08\20260914_034024\AREA_08_IMAGES_OUTPUT.zip,85e15a92e6f88f2371bc7381dcceece6455d4dd8ad258df3de962059135a75eb
AREA_09,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_09\20260914_034024\AREA_09_IMAGES_OUTPUT.zip,50127c8ca9f5a01bb3e8a17947bac6388d450444d318ff7aea6e5d2076fd392b
AREA_09,m_dark_jr_yeti,다크 주니어 예티,s_mon_dark_jr_yeti,검은 설원의 은폐,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_09\20260914_034024\AREA_09_IMAGES_OUTPUT.zip,50127c8ca9f5a01bb3e8a17947bac6388d450444d318ff7aea6e5d2076fd392b
AREA_09,m_hector,헥터,s_mon_hector,설원 늑대 발톱,권장,세 갈래 설원 참격은 맞으나 F03에서 둥근 휘감기 형상으로 바뀌었다가 F04에 다시 발톱이 커진다. 참격 개수와 방향 연결을 다듬을 여지가 있다.,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_09\20260914_034024\AREA_09_IMAGES_OUTPUT.zip,50127c8ca9f5a01bb3e8a17947bac6388d450444d318ff7aea6e5d2076fd392b
AREA_09,m_white_fang,화이트팽,s_mon_white_fang,화이트팽의 빙설 송곳니,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_09\20260914_034024\AREA_09_IMAGES_OUTPUT.zip,50127c8ca9f5a01bb3e8a17947bac6388d450444d318ff7aea6e5d2076fd392b
AREA_09,m_snow_witch,설산의 마녀,s_mon_snow_witch,추방자의 눈보라,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_09\20260914_034024\AREA_09_IMAGES_OUTPUT.zip,50127c8ca9f5a01bb3e8a17947bac6388d450444d318ff7aea6e5d2076fd392b
AREA_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_10\20260914_111705\AREA_10_IMAGES_OUTPUT_EDGE_CLEANED_CANDIDATE.zip,0121b78c34a7ee53f39a888d08dd5679f0ff475b9a22d6e62b21c185971be6d2
AREA_10,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_10\20260914_111705\AREA_10_IMAGES_OUTPUT_EDGE_CLEANED_CANDIDATE.zip,0121b78c34a7ee53f39a888d08dd5679f0ff475b9a22d6e62b21c185971be6d2
AREA_10,m_squid,스퀴드,s_mon_squid,심해 먹물 폭발,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_10\20260914_111705\AREA_10_IMAGES_OUTPUT_EDGE_CLEANED_CANDIDATE.zip,0121b78c34a7ee53f39a888d08dd5679f0ff475b9a22d6e62b21c185971be6d2
AREA_10,m_shark,샤크,s_mon_shark,포식자의 수류탄,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_10\20260914_111705\AREA_10_IMAGES_OUTPUT_EDGE_CLEANED_CANDIDATE.zip,0121b78c34a7ee53f39a888d08dd5679f0ff475b9a22d6e62b21c185971be6d2
AREA_10,m_pianus,피아누스,s_mon_pianus,심해왕의 광선,보정 필요,F05~F07의 밝은 수평 빔 끝이 수직 직선으로 동시에 끊긴다. 최외곽 접촉 검사는 통과해도 내부 형상 마감 문제는 남는다. 원본 시트 대조 후 끝 형상을 복구할 것. 기존 가장자리 검사 PASS를 전체 아트 PASS로 해석하면 안 된다.,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_10\20260914_111705\AREA_10_IMAGES_OUTPUT_EDGE_CLEANED_CANDIDATE.zip,0121b78c34a7ee53f39a888d08dd5679f0ff475b9a22d6e62b21c185971be6d2
AREA_11,m_ratz,라츠,s_mon_ratz,태엽쥐의 민첩,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_11\20260914_024951\AREA_11_IMAGES_OUTPUT.zip,154bf0fcae9d6c8b8ccdaa9ab821fa7aec73e8f71895290ba8aff679db905ade
AREA_11,m_drumming_bunny,북치는 토끼,s_mon_drumming_bunny,태엽 북진동,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_11\20260914_024951\AREA_11_IMAGES_OUTPUT.zip,154bf0fcae9d6c8b8ccdaa9ab821fa7aec73e8f71895290ba8aff679db905ade
AREA_11,m_bloctopus,블록퍼스,s_mon_bloctopus,블록 위장,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_11\20260914_024951\AREA_11_IMAGES_OUTPUT.zip,154bf0fcae9d6c8b8ccdaa9ab821fa7aec73e8f71895290ba8aff679db905ade
AREA_11,m_king_bloctopus,킹 블록퍼스,s_mon_king_bloctopus,왕관 블록탄,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_11\20260914_024951\AREA_11_IMAGES_OUTPUT.zip,154bf0fcae9d6c8b8ccdaa9ab821fa7aec73e8f71895290ba8aff679db905ade
AREA_11,m_rombot,롬바드,s_mon_rombot,에오스 중력파,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_11\20260914_024951\AREA_11_IMAGES_OUTPUT.zip,154bf0fcae9d6c8b8ccdaa9ab821fa7aec73e8f71895290ba8aff679db905ade
AREA_12,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_12\20260914_024951\AREA_12_IMAGES_OUTPUT.zip,ea0c7b2b20ad628a8aad535082590ac04bebff56ef7bf37904e9c79fe9dd6dd7
AREA_12,m_toy_trojan,장난감 목마,s_mon_toy_trojan,태엽 목마 돌진,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_12\20260914_024951\AREA_12_IMAGES_OUTPUT.zip,ea0c7b2b20ad628a8aad535082590ac04bebff56ef7bf37904e9c79fe9dd6dd7
AREA_12,m_master_robo,마스터 로보,s_mon_master_robo,정밀 태엽회로,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_12\20260914_024951\AREA_12_IMAGES_OUTPUT.zip,ea0c7b2b20ad628a8aad535082590ac04bebff56ef7bf37904e9c79fe9dd6dd7
AREA_12,m_chronos,크로노스,s_mon_chronos,크로노스의 시간편린,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_12\20260914_024951\AREA_12_IMAGES_OUTPUT.zip,ea0c7b2b20ad628a8aad535082590ac04bebff56ef7bf37904e9c79fe9dd6dd7
AREA_12,m_timer,타이머,s_mon_timer,시간 정지 충격,권장,시간 고리와 시계바늘의 전개는 명세에 맞는다. F00 하단에 본체와 멀리 떨어진 작은 청록 잔점이 보인다. 주 형상과 분리된 매우 약한 잔류를 원본과 대조한 뒤 정리할 수 있다.,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_12\20260914_024951\AREA_12_IMAGES_OUTPUT.zip,ea0c7b2b20ad628a8aad535082590ac04bebff56ef7bf37904e9c79fe9dd6dd7
AREA_13,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_13\20260914_024951\AREA_13_IMAGES_OUTPUT.zip,29069d2dbde26ce97a52d43e458af81de6a368ef744f32a527245e3ddc2026a4
AREA_13,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_13\20260914_024951\AREA_13_IMAGES_OUTPUT.zip,29069d2dbde26ce97a52d43e458af81de6a368ef744f32a527245e3ddc2026a4
AREA_13,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_13\20260914_024951\AREA_13_IMAGES_OUTPUT.zip,29069d2dbde26ce97a52d43e458af81de6a368ef744f32a527245e3ddc2026a4
AREA_13,m_sand_dwarf,모래난쟁이,s_mon_sand_dwarf,사막 대장장이의 체력,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_13\20260914_024951\AREA_13_IMAGES_OUTPUT.zip,29069d2dbde26ce97a52d43e458af81de6a368ef744f32a527245e3ddc2026a4
AREA_13,m_deo,데우,s_mon_deo,잠든 선인장의 폭발,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_13\20260914_024951\AREA_13_IMAGES_OUTPUT.zip,29069d2dbde26ce97a52d43e458af81de6a368ef744f32a527245e3ddc2026a4
AREA_14,m_cube_slime,큐브슬라임,s_mon_cube_slime,연금 큐브막,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_14\20260914_024951\AREA_14_IMAGES_OUTPUT.zip,0261fb9f2df4d291da39ff3d14bfc123443ca92b50655e2a7e44ce84fee46894
AREA_14,m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_14\20260914_024951\AREA_14_IMAGES_OUTPUT.zip,0261fb9f2df4d291da39ff3d14bfc123443ca92b50655e2a7e44ce84fee46894
AREA_14,m_homun,호문,s_mon_homun,플라스크 독무,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_14\20260914_024951\AREA_14_IMAGES_OUTPUT.zip,0261fb9f2df4d291da39ff3d14bfc123443ca92b50655e2a7e44ce84fee46894
AREA_14,m_roid,로이드,s_mon_roid,알카드노 에너지탄,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_14\20260914_024951\AREA_14_IMAGES_OUTPUT.zip,0261fb9f2df4d291da39ff3d14bfc123443ca92b50655e2a7e44ce84fee46894
AREA_14,m_chimera,키메라,s_mon_chimera,융합체의 산성 포격,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_14\20260914_024951\AREA_14_IMAGES_OUTPUT.zip,0261fb9f2df4d291da39ff3d14bfc123443ca92b50655e2a7e44ce84fee46894
AREA_15,m_straw_dummy,수련용 짚인형,s_mon_straw_dummy,짚단 균형감각,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_15\20260914_024951\AREA_15_IMAGES_OUTPUT.zip,02709a7cb25a283a12f1cc338e0d15380c1a7a743d859ff4520c05abc77881f6
AREA_15,m_wooden_dummy,수련용 나무인형,s_mon_wooden_dummy,목인 회전타,권장,목재 회전 궤적은 적합하다. 마지막 프레임에도 목재 핵이 또렷하게 남아 one-shot 종료 때 갑자기 사라질 가능성이 있다. 실제 이름/ID는 기록의 값을 우선하며 마지막 alpha 감소를 검토한다.,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_15\20260914_024951\AREA_15_IMAGES_OUTPUT.zip,02709a7cb25a283a12f1cc338e0d15380c1a7a743d859ff4520c05abc77881f6
AREA_15,m_peach_monkey,원공,s_mon_peach_monkey,천도 투척,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_15\20260914_024951\AREA_15_IMAGES_OUTPUT.zip,02709a7cb25a283a12f1cc338e0d15380c1a7a743d859ff4520c05abc77881f6
AREA_15,m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_15\20260914_024951\AREA_15_IMAGES_OUTPUT.zip,02709a7cb25a283a12f1cc338e0d15380c1a7a743d859ff4520c05abc77881f6
AREA_15,m_tae_roon,태륜,s_mon_tae_roon,태륜의 쌍권풍,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_15\20260914_024951\AREA_15_IMAGES_OUTPUT.zip,02709a7cb25a283a12f1cc338e0d15380c1a7a743d859ff4520c05abc77881f6
AREA_16,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_16\20260914_005624\AREA_16_IMAGES_OUTPUT.zip,be27eef7b905ab101c231f5340501bee674624d01a50f6dc32749fbff1d63e44
AREA_16,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,권장,깃털·음파의 색과 재질은 적합하다. F01의 세운 깃털이 F02에서는 빠지고 F03에서 다시 나타난다. 같은 깃털의 진동/회전으로 읽히도록 중간 형상 연결을 다듬는 것을 권장한다.,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_16\20260914_005624\AREA_16_IMAGES_OUTPUT.zip,be27eef7b905ab101c231f5340501bee674624d01a50f6dc32749fbff1d63e44
AREA_16,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,보정 필요,F02~F04가 오른쪽 용머리/원형 문에서 왼쪽으로 뿜는 구도다. INPUT의 오른쪽 발사와 충돌한다. 공식 프리징 브레스의 용머리·원형 문 구성까지 매우 가깝게 따라가 마감 참조를 넘어선다. 용머리 표현을 제거하고 쐐기 얼음과 오른쪽 숨결이라는 고유 소재로 다시 구성할 필요가 있다. 바이트 복제 여부는 이 판단에 포함하지 않는다.,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_16\20260914_005624\AREA_16_IMAGES_OUTPUT.zip,be27eef7b905ab101c231f5340501bee674624d01a50f6dc32749fbff1d63e44
AREA_16,m_dark_wyvern,다크 와이번,s_mon_dark_wyvern,검은 비늘의 근력,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_16\20260914_005624\AREA_16_IMAGES_OUTPUT.zip,be27eef7b905ab101c231f5340501bee674624d01a50f6dc32749fbff1d63e44
AREA_16,m_manon,마뇽,s_mon_manon,마뇽의 용화염,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_16\20260914_005624\AREA_16_IMAGES_OUTPUT.zip,be27eef7b905ab101c231f5340501bee674624d01a50f6dc32749fbff1d63e44
AREA_17,m_memory_monk,추억의 사제,s_mon_memory_monk,추억의 묵상,유지 가능,"몬스터/스킬의 선언 소재와 대표 형상이 연결되고, 명암층·주 실루엣·ICON의 형태 언어가 양립한다. 필수 원화 변경을 요구할 명확한 문제는 이번 정적 프레임 검토에서 찾지 못했다.",D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_17\20260914_005624\AREA_17_IMAGES_OUTPUT.zip,00c3adac54d19a014c1b53bf095dd0bfc9ce3fd8f353ab22e9d92ddc91ea9389
