index,skill_resource_name,RUID,source,known_era_version_date,chronology_confidence,style_priority,effect_family,visual_density,screen_occupancy,color_structure,hit_treatment,trail_treatment,fragment_treatment,animation_rhythm,icon_usefulness,preview_status,notes,zip_member,sha256,local_copy
11,sprite-8907568,0af9fd3ccfb540799043da5e580aebbd,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,icon,high,small,대표색 #8098BF; dark 20%/mid 30%/bright 50%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_octopus:먹물 폭발:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0011_sprite-8907568/preview.png,7ebb60a95dfd3fe362c386b522454ab1ce24dd58eda7b4e9d5966a90d9ad8f2e,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_011.png
12,머쉬맘의 포자 충격,0b09a6a325c54caca2282859ae624b22,프로젝트 보존 원본/반입 프레임,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,HIGH_PROJECT_ONLY,LEGACY_REFERENCE,icon,high,small,대표색 #AD6E34; dark 28%/mid 10%/bright 61%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_mushmom:머쉬맘의 포자 충격:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0012_머쉬맘의_포자_충격/preview.png,3ddf4f591bd4619c05c04b3d9e31426b9a6b1c844f6bd104e57a6a3678522423,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_012.png
13,어둠의 뿌리,0fbbe12552664c5f87944ff56a630178,프로젝트 보존 원본/반입 프레임,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,HIGH_PROJECT_ONLY,LEGACY_REFERENCE,icon,high,small,대표색 #8A7A9E; dark 28%/mid 2%/bright 71%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_dark_axe_stump:어둠의 뿌리:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0013_어둠의_뿌리/preview.png,5e1723e40c3e63316715f150064c9fc8690966c1e20934c59b6af43fb0bf3ef8,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_013.png
14,능력의 다크 와이번,1215ca4153664cb18a207cddcc5ab22c,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,projectile,high,medium,대표색 #FBFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 4개; 실제 지연값 미확보,보조,확보,s_mon_blue_wyvern:빙룡 숨결:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0014_능력의_다크_와이번/preview.png,5510dc640bff008b9524dec2d57f82c2d946bc4b314864ab5b1bec568b95c934,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_014.png
15,키메라,127defcb953144368b79da1417f8b4b4,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,projectile,high,medium,대표색 #FBFBFB; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,s_mon_chimera:융합체의 산성 포격:layer_ruids; s_mon_homun:플라스크 독무:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0015_키메라/preview.png,9ff035fcbf10e7e71822205648b605cec29db893e3b3eb5500ec58f544084b2d,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_015.png
16,마뇽,128fe611ea9347aab589c5b5d4d8fc5b,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFF89C; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 2개; 실제 지연값 미확보,보조,확보,s_mon_manon:마뇽의 용화염:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0016_마뇽/preview.png,9130e1fedd3a8815f85057f98bea0d2be60d9a09852da553913333a43dbca4d3,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_016.png
17,animationclip-656600,12b8ddbe34324edf81ba40fc36f4ad56,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,mixed/unknown,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 22개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: 초보자 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0017_animationclip-656600/preview.png,22509395b37c01fdb0eebdabd06baa02a59f7a6006c7dbe824b4dcf4dd9dd32d,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_017.png
18,구미호,1660382723ff40c296845e8ded7bbc86,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,wave/area,high,medium,대표색 #FFFBF7; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 4개; 실제 지연값 미확보,보조,확보,s_mon_eliza:여신의 정원 폭풍:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0018_구미호/preview.png,b32b10610ec5d8b7e703c9c693c97d753ef1ecd40e2cb96d83c112ebbbd40c74,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_018.png
19,[★] 정식기사C,1a648542a3b447f594b5c331cf44503f,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFF0EA; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 5개; 실제 지연값 미확보,보조,확보,s_mon_official_knight_c:기사단 뇌전 연각:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0019_[★]_정식기사C/preview.png,ab79f189fef4203cbe903426f90b63d570498b3ab24e2be12a142ba0c9fcd3d3,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_019.png
20,수련용 나무인형,1ad77c5bc77f4ee3a7b212d6394f0b13,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #907A61; dark 13%/mid 12%/bright 75%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,s_mon_wooden_dummy:목인 회전타:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0020_수련용_나무인형/preview.png,00ebe1dde376bda8b1285ec55b881264f91f7addcad6b843124f23e55aea8487,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_020.png
21,시그너스,1c8327eff1fa4321bef0fe5410a6ddef,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FEF8F4; dark 0%/mid 1%/bright 99%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 27개; 실제 지연값 미확보,보조,확보,s_mon_cygnus:타락한 여제의 정원:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0021_시그너스/preview.png,b4c6572d3b301af6e94f8bf6536fa9b601241f41984aa5d172d4340a4dbfa339,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_021.png
22,sprite-8909804,1dc02c9673284efb94da9c86e7414eeb,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,icon,high,small,대표색 #AD8788; dark 24%/mid 38%/bright 38%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_hero_01:슬래시 블러스트:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0022_sprite-8909804/preview.png,478f1d8df0c5c7bdc420a2118e84ed9576c05699609f167a673c3c9f12f28ec1,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_022.png
23,밀로,1ea2d50c388645df9502190ef8092d94,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFFFFB; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 4개; 실제 지연값 미확보,보조,확보,s_mon_memory_monk_trainee:추억의 기도파:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0023_밀로/preview.png,a52f7de6330cd865633ce954c8f8f591a0ce3c318de972988c45cba14aed42dc,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_023.png
24,블러드 하프,1f2bdb3b15a145ea8f3db3fbfb61296b,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFF8E4; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 4개; 실제 지연값 미확보,보조,확보,s_mon_blood_harp:핏빛 깃울림:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0024_블러드_하프/preview.png,a3397540f931a11f73c1e005a7734fc042b30bc48c773ef5833a26dec22ebd34,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_024.png
25,메카티안,1fe5c891382642d3aa35a89414f43fce,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,beam,high,medium,대표색 #FF7EA0; dark 1%/mid 25%/bright 74%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,s_mon_mecateon:기계화 레이저:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0025_메카티안/preview.png,1743e9d269cbd7a9ff9bb02892721ac4b457aa99903bccf15985bfc32623fa52,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_025.png
26,흰 모래토끼,201c4ae9d7c24438b56fb4d731ed9245,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 5개; 실제 지연값 미확보,보조,확보,s_mon_white_sand_rabbit:사막 굴착탄:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0026_흰_모래토끼/preview.png,7e9923e83447613804d3e32f0e7627786ba6a254a48fce1054c1c65451461143,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_026.png
27,샤크,209c4567073b424e8d445cea7efb80e3,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,projectile,high,medium,대표색 #83D9F6; dark 0%/mid 8%/bright 92%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 3개; 실제 지연값 미확보,보조,확보,s_mon_shark:포식자의 수류탄:projectile_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0027_샤크/preview.png,54ca33cfad8f95e68f3e37059a8cdf75e4dd86b68164f87ce4e102ccb57a70a8,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_027.png
28,animationclip-657546,22444db0645d47f48f300f36b3d90e4b,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #EAD1D0; dark 5%/mid 2%/bright 93%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 15개; 실제 지연값 미확보,보조,확보,s_mon_faust:저주의 인형:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0028_animationclip-657546/preview.png,5b9ce6888c45434a62558b1dfe9e7ef5448332987da4f8c5888695b87dcbb469,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_028.png
29,마티안,22db356cc60940089b7f5d592c7d5813,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,beam,high,medium,대표색 #FFFF9A; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,보조,확보,s_mon_mateon:마티안 광선탄:projectile_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0029_마티안/preview.png,e4721950182ba071d96638b6d55add1e7437590908818a344a136e3cd1944660,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_029.png
30,sprite-8910424,22f848d3e25941d88f3bccaebe6f7f64,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,icon,high,small,대표색 #CA8272; dark 33%/mid 30%/bright 37%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_bow_03:애로우 플래터:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0030_sprite-8910424/preview.png,3b4088ce617ed8f8687c103ba772f9e04f73caedf48d1050eefd3b15612704a2,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_030.png
31,sprite-8910555,2403c0085abe432b8120278f1c82442c,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,icon,high,small,대표색 #62E7FA; dark 11%/mid 14%/bright 75%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_jellyfish:차가운 젤리:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0031_sprite-8910555/preview.png,ca8565957bc52f2666019a2364d610cccceb22188b60362e7bcc8964a88ed177,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_031.png
32,animationclip-657650,24a41e7c8ab9445589d9b637528b7a1c,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,projectile,high,medium,대표색 #E4DBC0; dark 3%/mid 4%/bright 93%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 3개; 실제 지연값 미확보,보조,확보,s_bow_04:피닉스:projectile_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0032_animationclip-657650/preview.png,2e8f77bfd157a487308bd9396ad447b09e82b9ec08df3183ab08360df4bd6c77,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_032.png
33,sprite-8910806,25f430af296748f39f48de4a6a6faea7,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,icon,high,small,대표색 #909295; dark 36%/mid 42%/bright 22%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_shade:심연의 장막:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0033_sprite-8910806/preview.png,fd348680d899ab4257002e4f5e99a4eb525a218e457f9d76e1626aac23919c01,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_033.png
