index,name,RUID,original_priority,chronology,view_scope,usable_kind,use_limitation,zip_member,sha256
21,시그너스,1c8327eff1fa4321bef0fe5410a6ddef,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0021_시그너스/preview.png,b4c6572d3b301af6e94f8bf6536fa9b601241f41984aa5d172d4340a4dbfa339
22,sprite-8909804,1dc02c9673284efb94da9c86e7414eeb,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0022_sprite-8909804/preview.png,478f1d8df0c5c7bdc420a2118e84ed9576c05699609f167a673c3c9f12f28ec1
23,밀로,1ea2d50c388645df9502190ef8092d94,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0023_밀로/preview.png,a52f7de6330cd865633ce954c8f8f591a0ce3c318de972988c45cba14aed42dc
24,블러드 하프,1f2bdb3b15a145ea8f3db3fbfb61296b,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0024_블러드_하프/preview.png,a3397540f931a11f73c1e005a7734fc042b30bc48c773ef5833a26dec22ebd34
25,메카티안,1fe5c891382642d3aa35a89414f43fce,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0025_메카티안/preview.png,1743e9d269cbd7a9ff9bb02892721ac4b457aa99903bccf15985bfc32623fa52
26,흰 모래토끼,201c4ae9d7c24438b56fb4d731ed9245,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0026_흰_모래토끼/preview.png,7e9923e83447613804d3e32f0e7627786ba6a254a48fce1054c1c65451461143
27,샤크,209c4567073b424e8d445cea7efb80e3,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0027_샤크/preview.png,54ca33cfad8f95e68f3e37059a8cdf75e4dd86b68164f87ce4e102ccb57a70a8
28,animationclip-657546,22444db0645d47f48f300f36b3d90e4b,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0028_animationclip-657546/preview.png,5b9ce6888c45434a62558b1dfe9e7ef5448332987da4f8c5888695b87dcbb469
29,마티안,22db356cc60940089b7f5d592c7d5813,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0029_마티안/preview.png,e4721950182ba071d96638b6d55add1e7437590908818a344a136e3cd1944660
30,sprite-8910424,22f848d3e25941d88f3bccaebe6f7f64,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0030_sprite-8910424/preview.png,3b4088ce617ed8f8687c103ba772f9e04f73caedf48d1050eefd3b15612704a2
31,sprite-8910555,2403c0085abe432b8120278f1c82442c,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0031_sprite-8910555/preview.png,ca8565957bc52f2666019a2364d610cccceb22188b60362e7bcc8964a88ed177
32,animationclip-657650,24a41e7c8ab9445589d9b637528b7a1c,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0032_animationclip-657650/preview.png,2e8f77bfd157a487308bd9396ad447b09e82b9ec08df3183ab08360df4bd6c77
33,sprite-8910806,25f430af296748f39f48de4a6a6faea7,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0033_sprite-8910806/preview.png,fd348680d899ab4257002e4f5e99a4eb525a218e457f9d76e1626aac23919c01
34,animationclip-657764,2643498ff2bb4b4a8a55c480f00373a4,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0034_animationclip-657764/preview.png,44fd566158d69d917d394156de78f6a055b9952bbc832725dedacd02fa542be9
35,animationclip-657878,27e15f18340044509dc75492c362c865,RECENT_SECONDARY,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,NATIVE_1_TO_1,VFX_STATIC,보라 안개·얇은 지면 타원. 흐린 재질의 예; 선명한 외곽선이나 동작 타이밍 증거 아님.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0035_animationclip-657878/preview.png,0daff2ee0463b5c40ff6e68f41ffda9461f977d48cb1b5dcc4e8489cd9e6f2a5
36,animationclip-658065,2ba72c9b0bdd4e2fb33269262e9a7dea,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0036_animationclip-658065/preview.png,c6cdbe8e1bb261a7bdeb7384f2ee6d724e15529aa427e2cf601638c0e79055f8
37,animationclip-1038614,2c12c1e835a04c2a9ec1c5724846a7b6,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0037_animationclip-1038614/preview.png,d6ed97b76cb813e0aa62bf8e1ac00286b66a95717049899249a962209f7eda6d
38,animationclip-658167,2d3a1370a91d4da99ecfb42d7cced7c5,RECENT_SECONDARY,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0038_animationclip-658167/preview.png,3f5d4c3f663fe3534309edf34716afc8c3d8298d4d28a0fbecae69c737c623cd
39,animationclip-658323,2ed6be9152eb4bf0b22f4ca6e6fff9fe,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0039_animationclip-658323/preview.png,2e52a5a2d23ac48f8bb4641556b730b09002bf4400bc10b22fd2785776ad4bfd
40,animationclip-1040037,2f4311e974a44f218bedd1011a561310,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0040_animationclip-1040037/preview.png,3124eb039d62b2be13979b36f68e23c413cc4e125412093d10a795bf77c1ec8b
41,피아누스,306a9aafa3fb43498f1b783b85512305,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0041_피아누스/preview.png,59d0cc555d98fb391fc4ac5f2d02773b1d00cf0a068a1b44a11909791d8aa24a
42,animationclip-658386,30afd80ab7a34a3d978efd8e83a6eb31,RECENT_SECONDARY,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0042_animationclip-658386/preview.png,3ad71a0fab44cdc1bb8a392ac7769ed69878a850a804be77caf7d9bcc42aa010
43,태륜,353079a9d111455ab55d75577f9d7967,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0043_태륜/preview.png,9c969e96f3b7379262e0172500c8f5a3e977540c5587157d5696cd669150919a
44,에인션트 다크골렘,3803b5c17bf04b56bef115b3afbf388b,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0044_에인션트_다크골렘/preview.png,e06e7cd714d672bd334a8ca28c3020febf5863b909384b1488f6d205b09baed1
45,피아누스,3822f5bc47af488585cef2f0929ec811,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0045_피아누스/preview.png,e26931cbd444f9cc778a07310c4d430d5eed335d68bd855854c670c865fb4288
46,고목의 생기탄,383249b0f9254764aa758b1bcc9bfee9,LEGACY_REFERENCE,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0046_고목의_생기탄/preview.png,504a71a914868e120414ceffd910418597b5785fdfe38cf7fe68de243e3e07e1
47,타우로마시스,3cbd85dcfe3c41c4989adec59385c257,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0047_타우로마시스/preview.png,492007a1643d1a9a2d27d72af7dd34afe111c718e578a456fde5c0dec2899ec1
48,타이머,3ef6b2dcc75f4d4990e6e7f106bda49e,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,BODY_SCREENED,본체 이미지가 중심. 몬스터 정체성 보조 외 VFX 마감 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0048_타이머/preview.png,99e41237e57b9321f44a89df53b72926659c477b7823f2c1c65651581eb4405d
49,네오 휴로이드,3ff44a80daba4bb4a903778e036f551d,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0049_네오_휴로이드/preview.png,6afafa2db17e9b7bed3d636c33b94f6a4711234c77c5cd19d137d269b4de5455
50,시스템 몬스터E10,412bce166c844b07ba1b4aa3ddcd53fa,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0050_시스템_몬스터E10/preview.png,f2ed560d92a272e613b4f04e5b2a57f1402c6dcce56d192e843eafbb259d01c4
51,추억의 수호대장,4147dea424e9475ca1a61773421a3397,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0051_추억의_수호대장/preview.png,e7a794edbcfa65d0be133d49438881ae0ae82264713f644f541da0371ce105d7
52,sprite-8914285,429228115d56462ab0f65e7294a51609,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0052_sprite-8914285/preview.png,8117dbc2cf4091ae0974311a52ae3fab3cb7d3c7c2504104099a22b363c3dd3b
53,???,4292e76ef5034a42976afa7988d0a85c,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,BODY_SCREENED,본체 이미지가 중심. 몬스터 정체성 보조 외 VFX 마감 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0053____/preview.png,a4a3039efe997e4856da1fb5d523c419b0526223af32587e00f9b210dc4ea397
54,[★] 정식기사C,439308ddd0bf4405a8463340c67a464b,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0054_[★]_정식기사C/preview.png,939fd01a642e343aaf6aecb182638f73d734c3969421b3a02539b962cf2babe3
55,animationclip-659710,46198aa7dd8245b59ea37305c57df9f0,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0055_animationclip-659710/preview.png,3df05d5b2f8b2e57e02e1caaa65fe33c9053cd7112fd01693413f9d0af7094c3
56,sprite-12846807,483690e55c974444aef84df3a6331d93,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0056_sprite-12846807/preview.png,da36081020aeb49c2116a6e8106285f7588e35d00c8ee581b4a995ad3bf316b7
57,파우스트,49b21aaa1d574ba787149841a31bf1a5,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0057_파우스트/preview.png,76f481c495d629dc27a4bea0b826ef206666921dd8598b615ba5f612eddae3e2
